Step,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX
188,0.5546,0.5546,0.5546,0.7356,0.7356,0.7356,0.6849,0.6849,0.6849,0.5494,0.5494,0.5494
189,0.5734,0.5734,0.5734,0.7226,0.7226,0.7226,0.6972,0.6972,0.6972,0.5949,0.5949,0.5949
190,0.5846,0.5846,0.5846,0.7164,0.7164,0.7164,0.6703,0.6703,0.6703,0.6574,0.6574,0.6574
191,0.614,0.614,0.614,0.7293,0.7293,0.7293,0.6849,0.6849,0.6849,0.6203,0.6203,0.6203
192,0.6259,0.6259,0.6259,0.6334,0.6334,0.6334,0.7093,0.7093,0.7093,0.6499,0.6499,0.6499
193,0.6515,0.6515,0.6515,0.5886,0.5886,0.5886,0.6833,0.6833,0.6833,0.6202,0.6202,0.6202
194,0.5544,0.5544,0.5544,0.7639,0.7639,0.7639,0.6855,0.6855,0.6855,0.6203,0.6203,0.6203
195,0.5377,0.5377,0.5377,0.796,0.796,0.796,0.6383,0.6383,0.6383,0.5548,0.5548,0.5548
196,0.5502,0.5502,0.5502,0.7948,0.7948,0.7948,0.6257,0.6257,0.6257,0.5407,0.5407,0.5407
197,0.6238,0.6238,0.6238,0.7781,0.7781,0.7781,0.6947,0.6947,0.6947,0.5556,0.5556,0.5556
198,0.5381,0.5381,0.5381,0.7535,0.7535,0.7535,0.681,0.681,0.681,0.5316,0.5316,0.5316
199,0.5583,0.5583,0.5583,0.744,0.744,0.744,0.659,0.659,0.659,0.5408,0.5408,0.5408
200,0.5858,0.5858,0.5858,0.7706,0.7706,0.7706,0.6902,0.6902,0.6902,0.5197,0.5197,0.5197
201,0.6553,0.6553,0.6553,0.7481,0.7481,0.7481,0.6883,0.6883,0.6883,0.5962,0.5962,0.5962
202,0.503,0.503,0.503,0.7279,0.7279,0.7279,0.6998,0.6998,0.6998,0.5101,0.5101,0.5101
203,0.578,0.578,0.578,0.7568,0.7568,0.7568,0.6707,0.6707,0.6707,0.613,0.613,0.613
204,0.5954,0.5954,0.5954,0.7304,0.7304,0.7304,0.6795,0.6795,0.6795,0.5945,0.5945,0.5945
205,0.5927,0.5927,0.5927,0.6884,0.6884,0.6884,0.6992,0.6992,0.6992,0.5956,0.5956,0.5956
206,0.5587,0.5587,0.5587,0.6904,0.6904,0.6904,0.6609,0.6609,0.6609,0.638,0.638,0.638
